Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,23.430000,23.750000,22.780001,22.799999,21.467407,11854400
2021-10-13,22.930000,23.690001,22.879999,23.520000,22.145325,7844000
2021-10-14,23.690001,23.700001,23.260000,23.500000,22.126493,3525600
2021-10-15,23.500000,23.500000,23.110001,23.250000,21.891106,7800300
2021-10-18,23.059999,23.590000,22.830000,23.260000,21.900520,3406900
2021-10-19,23.000000,23.180000,22.350000,22.549999,21.232018,7034100
2021-10-20,22.670000,22.670000,21.990000,22.160000,20.864811,8500000
2021-10-21,21.879999,21.959999,20.709999,21.290001,20.045664,13145900
2021-10-22,20.719999,21.180000,19.530001,20.920000,19.697287,19968100
2021-10-25,21.080000,22.030001,20.940001,21.670000,20.403452,7509400
2021-10-26,21.209999,21.700001,20.629999,20.719999,19.508976,10102500
2021-10-27,20.809999,21.010000,20.430000,20.549999,19.348911,7379900
2021-10-28,20.340000,20.700001,20.010000,20.139999,18.962875,8839800
2021-10-29,20.299999,20.370001,19.680000,19.790001,18.633333,7102400
2021-11-01,20.049999,20.430000,19.900000,20.190001,19.009954,7333000
2021-11-03,19.900000,20.730000,19.790001,20.559999,19.358328,10764800
2021-11-04,20.459999,20.590000,20.040001,20.230000,19.047615,5441200
2021-11-05,20.530001,21.120001,20.299999,20.780001,19.565472,6201100
2021-11-08,20.520000,20.990000,20.480000,20.639999,19.433651,4871300
2021-11-09,20.600000,21.459999,20.549999,21.020000,19.791443,5673200
2021-11-10,20.980000,21.840000,20.910000,21.280001,20.036245,9346500
2021-11-11,21.580000,22.410000,21.469999,21.860001,20.582346,5386400
2021-11-12,21.809999,21.900000,20.990000,21.110001,19.876183,7289700
2021-11-16,21.270000,21.830000,20.200001,20.790001,19.574886,10334800
2021-11-17,21.049999,21.559999,20.480000,20.820000,19.603132,8577300
2021-11-18,20.870001,21.370001,20.760000,20.969999,19.744364,4734000
2021-11-19,20.950001,21.530001,20.879999,21.059999,19.829103,5092800
2021-11-22,21.100000,21.590000,20.660000,20.660000,19.452484,5586200
2021-11-23,20.700001,21.440001,20.559999,21.270000,20.026831,9822300
2021-11-24,21.120001,21.500000,21.049999,21.209999,19.970337,7669600
2021-11-25,21.320000,22.040001,21.209999,21.520000,20.262218,6705600
2021-11-26,21.000000,21.350000,20.830000,21.299999,20.055077,6947000
2021-11-29,21.469999,21.889999,21.320000,21.480000,20.224556,6303200
2021-11-30,21.480000,21.750000,20.860001,21.250000,20.007999,15905100
2021-12-01,21.400000,21.809999,21.020000,21.219999,19.979752,7796600
2021-12-02,21.590000,22.049999,21.350000,21.940001,20.657671,8631800
2021-12-03,22.000000,22.700001,21.930000,22.370001,21.062538,9427900
2021-12-06,22.440001,22.770000,21.780001,21.889999,20.610592,7627500
2021-12-07,22.080000,22.219999,21.680000,21.969999,20.685917,5827900
2021-12-08,22.110001,22.500000,22.010000,22.209999,20.911890,8170500
2021-12-09,22.170000,22.340000,21.820000,22.020000,20.732996,4595800
2021-12-10,22.120001,22.549999,22.120001,22.260000,20.958969,5368100
2021-12-13,22.400000,22.490000,22.010000,22.170000,20.874229,5553000
2021-12-14,22.420000,23.100000,22.129999,22.200001,20.902475,5650600
2021-12-15,21.790001,22.520000,21.730000,22.280001,21.337872,9511900
2021-12-16,22.299999,22.580000,22.160000,22.340000,21.395334,7003200
2021-12-17,22.120001,22.250000,21.930000,22.139999,21.203789,7084300
2021-12-20,22.000000,22.030001,21.379999,21.670000,20.753664,5249300
2021-12-21,21.559999,21.680000,21.299999,21.340000,20.437620,4045500
2021-12-22,21.350000,21.510000,21.040001,21.400000,20.495081,5440600
2021-12-23,21.420000,21.480000,21.059999,21.150000,20.255651,4131400
2021-12-27,21.250000,21.559999,21.170000,21.410000,20.504660,3303100
2021-12-28,21.389999,21.629999,21.200001,21.450001,20.542969,3394300
2021-12-29,21.520000,21.639999,21.270000,21.459999,20.552544,2401200
2021-12-30,21.490000,21.840000,21.480000,21.690001,20.772820,5705600
2022-01-03,21.770000,22.180000,21.059999,21.170000,20.274807,8988900
2022-01-04,21.180000,21.650000,21.040001,21.299999,20.399309,6331300
2022-01-05,21.260000,21.370001,20.230000,20.240000,19.384134,8466900
2022-01-06,20.280001,20.379999,19.629999,19.770000,18.934008,6832500
2022-01-07,19.799999,20.030001,19.639999,19.809999,18.972317,5231700
2022-01-10,19.809999,19.950001,19.389999,19.730000,18.895699,5970500
2022-01-11,19.700001,20.719999,19.590000,20.559999,19.690601,8906000
2022-01-12,20.450001,21.389999,20.360001,21.230000,20.332270,7841100
