Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,62.980000,63.040001,61.900002,61.900002,56.599598,41056900
2023-08-15,61.950001,61.959999,61.139999,61.290001,56.041832,28611000
2023-08-16,61.389999,61.930000,61.000000,61.049999,55.822380,30508600
2023-08-17,62.590000,62.810001,61.720001,61.910000,56.608738,39481200
2023-08-18,61.200001,62.080002,61.020000,61.220001,55.977825,34201900
2023-08-21,61.490002,61.740002,61.020000,61.299999,56.050976,17695300
2023-08-22,62.040001,62.860001,62.029999,62.580002,57.221371,30995800
2023-08-23,63.250000,63.669998,63.040001,63.040001,57.641979,19128500
2023-08-24,62.689999,62.689999,61.830002,62.200001,56.873909,17821500
2023-08-25,62.669998,62.779999,61.900002,62.070000,56.755043,11395300
2023-08-28,62.430000,63.270000,62.270000,62.959999,57.568829,14173600
2023-08-29,63.380001,65.029999,63.230000,64.970001,59.406719,28625700
2023-08-30,65.209999,65.870003,64.730003,64.980003,59.415867,21812600
2023-08-31,65.570000,66.169998,65.080002,65.080002,59.507301,31011100
2023-09-01,66.690002,69.000000,66.629997,68.889999,62.991055,57288600
2023-09-04,69.279999,70.050003,68.879997,69.400002,63.457390,22397800
2023-09-05,68.989998,69.510002,68.580002,69.099998,63.183075,19253500
2023-09-06,69.150002,69.589996,67.879997,67.989998,62.168118,28466500
2023-09-08,66.699997,66.839996,66.239998,66.709999,60.997723,19989200
2023-09-11,68.099998,68.180000,67.540001,67.669998,61.875519,19493800
2023-09-12,68.000000,68.260002,67.440002,67.620003,61.829803,14201300
2023-09-13,67.669998,67.779999,67.150002,67.360001,61.592064,15448400
2023-09-14,69.300003,70.680000,69.050003,70.120003,64.115738,62390300
2023-09-15,71.000000,71.230003,69.540001,69.540001,63.585400,37901700
2023-09-18,69.540001,70.050003,68.550003,68.720001,62.835613,21849000
2023-09-19,68.669998,69.250000,68.209999,68.849998,62.954475,43870300
2023-09-20,69.279999,69.769997,69.040001,69.309998,63.375092,14372200
2023-09-21,68.300003,68.459999,67.500000,67.500000,61.720081,21686000
2023-09-22,68.389999,68.870003,67.930000,68.000000,62.177265,17063700
2023-09-25,67.010002,67.029999,65.769997,66.599998,60.897144,34715000
2023-09-26,65.699997,66.260002,65.370003,65.559998,59.946194,24178800
2023-09-27,66.099998,66.190002,65.309998,65.699997,60.074207,17109300
2023-09-28,66.110001,67.040001,65.959999,66.699997,60.988579,26072300
2023-09-29,67.309998,67.650002,67.040001,67.580002,61.793232,19018000
2023-10-02,67.580002,67.720001,66.620003,66.989998,61.253750,11175900
2023-10-03,66.080002,66.959999,66.070000,66.580002,60.878853,15268800
2023-10-04,66.400002,66.779999,65.529999,65.870003,60.229652,14377000
2023-10-05,65.870003,66.449997,65.660004,65.900002,60.257084,11556300
2023-10-06,65.889999,67.449997,65.820000,66.860001,61.134880,22711400
